"Title","Description","ID","Owner","Created Date","Updated Date","Date","Year","Category","Image"
"AMD Gift","<p class=""font_8"">Thanks to AMD for the 50K gift! This is the second year of our collaboration. Here is to many more!</p>","6afb3c67-4f5d-41fd-a056-01732b339e74","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2022-02-04T20:00:33Z,2022-04-04T15:20:55Z,"Jan 2022",2022-01-01T06:00:00Z,"Award",
"🔬IEEE COMPSAC'23","<p class=""font_8"">We have two papers accepted at IEEE COMPSAC'23. Congratulations to Arunavo and Chase (acceptance rate: &lt; 27%)!&nbsp;</p>","6e393ae3-0206-4b49-8935-25c2d854b737","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2023-05-11T16:32:56Z,2025-08-21T05:40:37Z,"May 2023",2023-05-11T17:00:00Z,"Paper",
"LBL","<p class=""font_8"">Visiting faculty scholar at LBNL with my students for the summer.</p>","6f825b85-5e22-4bc5-a942-5a272cb67ce4","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2021-04-30T15:32:56Z,"June 2019",2019-06-26T05:00:00Z,"Others","wix:image://v1/c8381ce0e7a94ad09ceaada2fc64081d.jpg/c8381ce0e7a94ad09ceaada2fc64081d.jpg#originWidth=1920&originHeight=1276"
"ACM BCB","<p class=""font_8"">Our&nbsp;paper titled ""<strong>Low Rank Smoothed Sampling Methods for Identifying Impactful Pair-wise Mutations</strong>"" has been accepted at ACM Conference on Bioinformatics, Computational Biology, and Health Informatics. Congratulations Nick!</p>","74a89afe-270b-431a-aa8f-e7fe435d77f0","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2024-10-17T17:16:30Z,"June 2018",2018-06-11T05:00:00Z,"Paper",
"IPDPS 2016","<p class=""font_8"">Our paper titled ""I/O Aware Power Shifting"" has been accepted in IPDPS 2016.</p>","77c19d7f-2d1f-4782-895e-4cb1f07325ed","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2024-10-17T17:22:51Z,"Dec 2015",2015-12-26T06:00:00Z,"Paper",
"IPDPS17","<p class=""font_8"">Our paper on scalable file system for burst buffers titled ""MetaKV: A key-value store for metadata management of distributed&nbsp;burst buffers"" has been accepted in IPDPS'17 [Acceptance rate ~22%].</p>","7a086121-3cca-4da3-a6e6-e1313f281cb4","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2024-10-17T17:16:38Z,"Jan 2017",2017-01-01T06:00:00Z,"Paper",
"IJHPCA","<p class=""font_8"">Our paper titled ""<strong>Exploring the MPI Tool Information Interface: Features and Capabilities</strong>"" has been accepted in IJHPCA.</p>","7abdd05b-cfb2-4ac8-8f5b-c0cbed646e9a","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2024-10-17T17:23:33Z,"Jul 2015",2015-07-26T05:00:00Z,"Paper",
"🔬 IEEE COMPSAC'24","<p class=""font_8"">Congratulations to Banooqa, Zaeed, Chase+Ankur, and Arunavo for their respective papers at IEEE COMPSAC in Osaka, Japan! These papers range from addressing gaps that enable the effective use of LLMs, GNNs, and transfer learning for performance analytics.</p>","7c6b0681-b9e4-485e-a18c-829a0e6b8ce7","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2024-05-13T13:02:07Z,2025-08-21T05:40:17Z,"May 2024",2024-05-10T17:00:00Z,"Paper",
"ProTools","<p class=""font_8"">Our paper titled ""<strong>Towards A Programmable Analysis and Visualization Framework for Interactive Performance Analytics</strong>""&nbsp;accepted in the ProTools workshop at SC'19.</p>","7fafccd7-11d1-4697-a64e-5d7b1f475756","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2021-04-30T15:37:31Z,"Nov 2019",2019-11-26T06:00:00Z,"Paper","wix:image://v1/c8381ce0e7a94ad09ceaada2fc64081d.jpg/c8381ce0e7a94ad09ceaada2fc64081d.jpg#originWidth=1920&originHeight=1276"
"LEARN proposal","<p class=""font_8"">Heard back from the LLNL research council and they are interested to move forward with my LEARN proposal. The idea is about developing machine-learning techniques for&nbsp;correlating&nbsp;a plethora of system performance metrics to application performance.</p>","80ffd952-329d-4908-a4c1-ccf16e16ad91","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2024-10-17T17:22:19Z,"Mar 2016",2016-03-26T05:00:00Z,"Award",
